BS_ID	SQ_Value
BS_NDRDM2A9	NantOmics
BS_NEVYM2FP	The Translational Genomics Research Institute
BS_NFRXNAFE	NantOmics
BS_NGHK9RZP	NantOmics
BS_NGSG2KB6	The Translational Genomics Research Institute
BS_NGY0TE6S	NantOmics
BS_NH7K4CD9	NantOmics
BS_NJ4WPQVK	NantOmics
BS_NKEAAFMW	NantOmics
BS_NKRYMHEP	NantOmics
BS_NNPEC7W1	NantOmics
BS_NPA6CZQF	BGI@CHOP Genome Center
BS_NPQJ20KX	NantOmics
BS_NQB91P48	NantOmics
BS_NQFH3GZH	NantOmics
BS_NR3P3GN2	NantOmics
BS_NR9FRY5T	NantOmics
BS_NRFQEQKP	NantOmics
BS_NRPG5K4K	NantOmics
BS_NS7GSHB9	NantOmics
BS_NT9NZYFD	NantOmics
BS_NVKGSMXS	NantOmics
BS_NYS8TRCB	NantOmics
BS_NZ71XCG3	NantOmics
BS_P0QF87WC	NantOmics
BS_P0W5VJH4	NantOmics
BS_P277RYX5	NantOmics
BS_P39SQPTS	NantOmics
BS_P44PE00R	NantOmics
BS_P4D8Y3S8	NantOmics
BS_P4NX9MPA	NantOmics
BS_P78SMRBS	NantOmics
BS_P7EY9DXG	NantOmics
BS_P9JP6JFA	NantOmics
BS_PEP9NZXN	NantOmics
BS_PGHK1JRW	NantOmics
BS_PGK832G2	NantOmics
BS_PJPGVD62	NantOmics
BS_PK18H7E7	NantOmics
BS_PKK3BZRG	NantOmics
BS_PKW05VZV	NantOmics
BS_PN2CE34A	NantOmics
BS_PNYN0AYD	NantOmics
BS_PQ6QEVE8	NantOmics
BS_PQ7CQFYR	NantOmics
BS_PQVTB6BB	NantOmics
BS_PRAEF32W	NantOmics
BS_PRR8K9GE	NantOmics
BS_PS0P3QJ3	BGI@CHOP Genome Center
BS_PSNBFWQV	NantOmics
BS_PSW27ZTE	NantOmics
BS_PXCPK5XS	BGI@CHOP Genome Center
BS_PZVHMSYN	NantOmics
BS_Q13FQ8FV	NantOmics
BS_Q2T9ZRM0	NantOmics
BS_Q3TBCK4V	NantOmics
BS_Q5WZYWCT	NantOmics
BS_Q79NP5YY	NantOmics
BS_Q9V7A95C	NantOmics
BS_QAG1RDXN	NantOmics
BS_QB7YGKN1	NantOmics
BS_QB84TBA3	NantOmics
BS_QBR4WCQ2	NantOmics
BS_QC3XCE6X	NantOmics
BS_QEYPFYHD	NantOmics
BS_QF5VVZX5	NantOmics
BS_QH82PBMB	NantOmics
BS_QHS3V0GP	NantOmics
BS_QNAQGAV6	NantOmics
